Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,SPX Index,RF,party
9/8/1980,,,,-0.034725518,0.002897681,,0,-0.008091651,,,,-0.025086426,,,,0,-0.008573349,,,,,,0.005211059,,-0.009132484,-0.009770701,-0.011173301,,,0,-0.012651766,0.036,1
9/9/1980,,,,0.017507929,0,,-0.011063921,-0.003205684,,,,0.014412067,,,,-0.009132484,0.021320922,,,,,,-0.005211059,,0,0.012914194,-0.005199318,,,0,0.006144413,0.036,1
9/10/1980,,,,0.013793322,0,,0.011063921,0.004829261,,,,0.021192202,,,,0,0.008393249,,,,,,0.01246122,,0,0.00644095,0.005199318,,,0.006235581,0.005946658,0.036,1
9/11/1980,,,,-0.003425037,0.011489492,,0,0.003239267,,,,-0.003508314,,,,0,0.008370217,,,,,,0.017898714,,-0.009216655,0.003204984,-0.00259628,,,0,0.006787266,0.036,1
9/12/1980,,,,-0.010368285,-0.008618329,,-0.005525157,-0.011334079,,,,-0.010555003,,,,0.009132484,0,,,,,,0.038772252,,-0.004632938,-0.006420273,0.00259628,,,0.024538805,-0.000955414,0.036,1
9/15/1980,,,,0.013793322,-0.008674946,,0.011003145,-0.00327625,,,,-0.007128884,,,,-0.018349139,-0.008370217,,,,,,0.027886422,,0,0.015883492,0.018836173,,,0.044465992,0.001034991,0.036,1
9/16/1980,,,,0.011917742,0.02297995,,0.016256183,0.021008866,,,,0.014163222,,,,0.009216655,-0.021140822,,,,,,0.022967965,,0.004632938,0.043072675,0.030900162,,,0.042552658,0.00847832,0.036,1
9/17/1980,,,,0.020101125,0.036273088,,0.010692474,0.017471487,,,,0.051467418,,,,-0.018519048,0.012747573,,,,,,-0.006508624,,0.004626319,0.029656491,0.020350723,,,0.016522745,0.0166664,0.036,1
9/18/1980,,,,-0.015035144,-0.033432913,,-0.021500514,-0.00316274,,,,0.006677542,,,,-0.00938974,-0.025610891,,,,,,-0.00937214,,-0.004626319,-0.041787373,-0.015428645,,,-0.005464117,-0.003653753,0.036,1
9/19/1980,,,,0.006711399,-0.017145179,,0,0.012543984,,,,0.006633248,,,,0,0.025610891,,,,,,0.00937214,,0.004626319,0.009090177,0.007337986,,,0.013633985,0.006598122,0.036,1
9/22/1980,,,,0,0.045077205,,-0.016451288,0.01238858,,,,0.026061302,,,,-0.009478744,0.033204483,,,,,,-0.011728964,,0,0.044334482,0.008090659,,,-0.005439156,0.008858136,0.036,1
9/23/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007466455,0.036,
9/24/1980,,,,0.03133253,0.055202291,,0,0.006151554,,,,0.012559528,,,,0.019048195,-0.008357976,,,,,,-0.050281661,,0.004632938,0.014379225,-0.004886003,,,-0.027552247,0.007236367,0.036,1
9/25/1980,,,,-0.001622094,-0.028536731,,-0.02246703,0.00308498,,,,-0.04785258,,,,-0.009478744,-0.03419755,,,,,,-0.002531006,,-0.009302393,-0.040777553,-0.017291497,,,-0.008401714,-0.012737059,0.036,1
